"company_name","summary","author_title","author_location","recommends_flag","outlook_flag","ceo_opinion_flag","main_text_description","pros_description","cons_description","advice_to_management_description","star_rating_overall","star_rating_work_life_balance","star_rating_culture_and_values","star_rating_career_opportunities","star_rating_comp_and_benefits","star_rating_senior_management","star_rating_review_date"
"gsk","Data and analytics leader","Current Employee - Emea Analytics Director","London, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Good, collaborative culture, with focus on performance","Leadership more focused on business then the people","None",4.0,4.0,4.0,3.0,2.0,1.0,"Tue Mar 03 2020 09:52:27 GMT-0800 (Pacific Standard Time)"
"gsk","Brilliant place to work","Current Employee - Mechanical Engineer","Ware, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Great people, fun worming environment","Things take a lint time to be approved","None",5.0,5.0,5.0,5.0,5.0,5.0,"Sun Mar 01 2020 12:08:53 GMT-0800 (Pacific Standard Time)"
"gsk","Great company","Former Employee - Quality Assurance","London, England","Recommends","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Excellent company to work for. Improving understanding of life/work balance","Offer excellent salaries to new employees but if you move up through the ranks from within the company you can expect very poor increases in salary. I had seven promotions in 20 years and all but once the increase was less than 5% total.","None",4.0,3.0,5.0,4.0,4.0,4.0,"Sun Mar 01 2020 08:41:13 GMT-0800 (Pacific Standard Time)"
"gsk","Average","Current Employee - Materials Scheduler","Maidenhead, England","Doesn't Recommend","Neutral Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Good benefits and package being apart of GSK","Bad management and lack of transparency on site","None",3.0,3.0,3.0,3.0,5.0,3.0,"Wed Mar 11 2020 13:24:58 GMT-0700 (Pacific Daylight Time)"
"gsk","GSK placement salary","Former Employee - Industrial Placement Finance Analyst","Brentford, England","None","None","None","I worked at GlaxoSmithKline full-time","Good support and opportunities for placement students. Good work life balance","What I actually did on the job is very different to how the job is advertised","None",5.0,None,None,None,None,None,"Wed Feb 26 2020 09:08:01 GMT-0800 (Pacific Standard Time)"
"gsk","Great to work for &amp; develop people","Current Employee - Global Commodity Manager","None","Recommends","Positive Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","- Development, Global Outreach &amp; variety of roles, experiences and projects to work on","- Sometimes too big to operate effectively in","None",5.0,4.0,4.0,4.0,4.0,3.0,"Tue Feb 25 2020 08:42:49 GMT-0800 (Pacific Standard Time)"
"gsk","Overall good","Current Employee - Clinical Development Manager","London, England","Recommends","Neutral Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time","Big pharma, a lot of opportunities, great people","Very difficult to get promoted","None",4.0,5.0,4.0,4.0,3.0,3.0,"Sat Feb 22 2020 06:40:49 GMT-0800 (Pacific Standard Time)"
"gsk","Graduate Shift Engineer On Development Program","Current Employee - Graduate Engineer","Ware, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","They really invest in your development and put you into positions of responsibility early on. 

Great people to work with

Fantastic Share scheme and yearly Bonuses","A lot of politics to deal with.

Culture is very ingrained, slowly starting to change for the future and looks promising.","None",5.0,4.0,5.0,5.0,5.0,4.0,"Wed Feb 19 2020 07:49:04 GMT-0800 (Pacific Standard Time)"
"gsk","Graduate Shift Engineer On Development Program","Current Employee - Graduate Engineer","Ware, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","They really invest in your development and put you into positions of responsibility early on. 

Great people to work with

Fantastic Share scheme and yearly Bonuses","A lot of politics to deal with.

Culture is very ingrained, slowly starting to change for the future and looks promising.","None",5.0,4.0,5.0,5.0,5.0,4.0,"Wed Feb 19 2020 07:49:04 GMT-0800 (Pacific Standard Time)"
"gsk","Great company to work for","Current Employee - Anonymous Employee","None","None","None","None","I have been working at GlaxoSmithKline full-time for more than 5 years","work life balance is great","base salary wish it was higher","None",5.0,None,None,None,None,None,"Mon Feb 17 2020 14:08:16 GMT-0800 (Pacific Standard Time)"
"gsk","Average","Current Employee - Project Manager","London, England","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","Work flexibility medical redundancy nothing","Growth growth growth management management","None",2.0,3.0,2.0,1.0,2.0,1.0,"Sat Feb 29 2020 15:58:04 GMT-0800 (Pacific Standard Time)"
"gsk","Company with values","Current Employee - Supply Chain Manager","None","None","None","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Good package, modern employer, flexible working.. opportunities for development. Possibility to do a professional certification funded by the company.","Slow in making things happen.  Takes a long time to align with different stakeholders and get an agreement to progress
Difficult to get promotion.
How are you are treated in the company does very much depend on your manager. 
Some of them are realty good but some are only interested in themselves and do not treat people with respect","None",3.0,4.0,3.0,3.0,4.0,3.0,"Fri Feb 28 2020 14:21:17 GMT-0800 (Pacific Standard Time)"
"gsk","Take care","Former Employee - Senior Engineering Technician","Ware, England","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Good pay, good conditions, good benefits package.","Totally poor management. Too young. Zero experience. Chemical engineers running Mechanical, Electrical and Controls skills!!!","None",3.0,3.0,1.0,3.0,5.0,1.0,"Fri Feb 28 2020 22:21:26 GMT-0800 (Pacific Standard Time)"
"gsk","Slow moving but good learning.","None","None","Recommends","Positive Outlook","None","I worked at GlaxoSmithKline ","Good benefits, good work life balance","Slow progression and organisational changes","None",4.0,None,None,None,None,None,"Thu Feb 13 2020 13:09:55 GMT-0800 (Pacific Standard Time)"
"gsk","Fianance analyst","Current Employee - Anonymous Employee","Uxbridge, England","Doesn't Recommend","Negative Outlook","None","I have been working at GlaxoSmithKline full-time","Maternity  pay is good
Sick pay","Work life balance
Pay
Opportunity to grow","None",3.0,1.0,5.0,1.0,1.0,1.0,"Fri Feb 28 2020 09:26:26 GMT-0800 (Pacific Standard Time)"
"gsk","Improve empathy for employees.","Former Employee - Anonymous Employee","None","Doesn't Recommend","Neutral Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 5 years","Flexibility, benefits and work life balance","lack of opportunity, Changes, M&amp;A,  take overs and lack of empathy for the employees","None",2.0,4.0,4.0,2.0,4.0,2.0,"Wed Feb 26 2020 14:15:46 GMT-0800 (Pacific Standard Time)"
"gsk","Great place to work","Current Employee - Clinical Development Manager","None","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time","Diverse, flexible place to work with great people","Can be a difficult organisation to navigate due to size","None",4.0,4.0,None,None,None,None,"Wed Feb 12 2020 08:41:17 GMT-0800 (Pacific Standard Time)"
"gsk","Great place to work","Former Employee - Brand Manager","Brentford, England","Recommends","None","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Great culture. Very team oriented and gender balanced. Great offices and facilities.","Sometimes not quick enough off the pace versus similar sized competitors.","None",5.0,4.0,5.0,4.0,4.0,4.0,"Fri Feb 07 2020 10:17:01 GMT-0800 (Pacific Standard Time)"
"gsk","s","Current Employee - Statistical Analyst","None","Recommends","Positive Outlook","None","I have been working at GlaxoSmithKline full-time","Salary, eviroment, people, location, carrer","there is no point of cons","None",5.0,5.0,3.0,4.0,5.0,4.0,"Tue Feb 04 2020 05:47:21 GMT-0800 (Pacific Standard Time)"
"gsk","GSK","Current Employee - Project Controls","None","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","Strong culture and good management. Good benefits","Not an industry leading salary.","None",4.0,4.0,5.0,3.0,4.0,4.0,"Tue Feb 04 2020 12:27:04 GMT-0800 (Pacific Standard Time)"
"gsk","Not worth as top management don’t care","Current Employee - Senior Program Manager","London, England","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Good Company with values","Top management only talk about values but do not mean them. Always about publicity and there is employee care","None",1.0,2.0,1.0,1.0,3.0,1.0,"Tue Mar 10 2020 09:46:06 GMT-0700 (Pacific Daylight Time)"
"gsk","Not too bad","Former Employee - Director","Stevenage, England","None","None","None","I worked at GlaxoSmithKline full-time for more than 10 years","good people, values and facilities","very resource constrained, poor leadership","None",2.0,3.0,3.0,3.0,2.0,1.0,"Tue Feb 18 2020 08:08:51 GMT-0800 (Pacific Standard Time)"
"gsk","Director - Business Unit","Former Employee - Business Unit Director","London, England","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 5 years","People Oriented, performing and better future outlook","Going through many changes simultaneously","None",4.0,4.0,4.0,4.0,4.0,4.0,"Fri Jan 31 2020 15:51:36 GMT-0800 (Pacific Standard Time)"
"gsk","Great culture but slow paced","Current Employee - Commercial Excellence","London, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Very people orientated, very respectful and flexible working culture","Decision making can be slow and over analysed","None",4.0,5.0,5.0,5.0,4.0,4.0,"Sat Feb 01 2020 01:47:59 GMT-0800 (Pacific Standard Time)"
"gsk","Mixed feelings","Former Employee - IT Director","London, England","Doesn't Recommend","Positive Outlook","Disapproves of CEO","I worked at GlaxoSmithKline full-time for more than 5 years","Forward looking, good investment on research, good M&amp;A strategy. Competitive salaries, nice offices. Good company for sales, marketing professionals and drug researchers","Corporate business services, that includes IT, finance HR et al. are seen as overhead spend, and value of these functions are not acknowledged. Employees working in service functions are seen as disposable commodities.","None",3.0,3.0,3.0,3.0,4.0,2.0,"Sat Feb 15 2020 06:04:27 GMT-0800 (Pacific Standard Time)"
"gsk","Awful place to work for BAME","Current Employee - Senior Tax Accountant","London, England","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","None aside from brand of company","No transparency in promotion  and appointment;  BAME  seen as the  donkeys  delivering the work; white privelige rules  at the senior level","None",1.0,1.0,1.0,1.0,3.0,1.0,"Thu Mar 05 2020 23:58:34 GMT-0800 (Pacific Standard Time)"
"gsk","Good company","Current Employee - Compusa","None","None","None","None","I have been working at GlaxoSmithKline full-time","Flexible working is great and working from home","Not a lot of development due to large organisation","None",4.0,None,None,None,None,None,"Thu Jan 30 2020 10:47:24 GMT-0800 (Pacific Standard Time)"
"gsk","good place to work","Current Employee - Scientific Director","London, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","Lots of compounds in development
wide range of jobs available","be wary of getting a poisonous manager (they are rare in GSK)","None",4.0,3.0,4.0,4.0,4.0,3.0,"Wed Jan 29 2020 12:16:32 GMT-0800 (Pacific Standard Time)"
"gsk","Excellent company","Former Employee - Service Delivery","London, England","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 5 years","Future progress 
Flexible working hours","Salary is low 
Systems are pain","None",5.0,5.0,5.0,5.0,5.0,5.0,"Mon Jan 27 2020 11:19:48 GMT-0800 (Pacific Standard Time)"
"gsk","Principal Statistician GSK","Current Employee - Company Representative","Stevenage, England","Recommends","Neutral Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Very good working environment. Varied work.","Some staff have poor work ethic.","None",4.0,5.0,5.0,4.0,4.0,4.0,"Sat Jan 25 2020 15:25:41 GMT-0800 (Pacific Standard Time)"
"gsk","Great place to work","Current Employee - Principal Scientist","Stevenage, England","Recommends","None","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 10 years","Career opportunities, supportive, great staff","Bureaucracy, conservative, lack of risks","None",4.0,4.0,4.0,4.0,4.0,4.0,"Sun Jan 26 2020 06:59:25 GMT-0800 (Pacific Standard Time)"
"gsk","Ok","Former Employee - Investigator","Ware, England","Recommends","Positive Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Good work /life balance","Too much reliance on foreign CRO's - where development science isn't as focused or to a high a standard as what could be achieved in-house.","None",3.0,4.0,3.0,3.0,2.0,3.0,"Fri Feb 07 2020 09:47:41 GMT-0800 (Pacific Standard Time)"
"gsk","Fantastic company to work for","Current Employee - Chief of Staff","London, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","One of the best companies I’ve worked for from a cultural and values perspective. Great career progression and modern","Bad UK health coverage, they handle redundancies and HR issues terribly","None",5.0,5.0,5.0,5.0,3.0,5.0,"Thu Jan 23 2020 07:56:59 GMT-0800 (Pacific Standard Time)"
"gsk","Great company","Current Employee - IT Business Analyst","None","None","None","None","I have been working at GlaxoSmithKline full-time for more than 10 years","Varied work, good pay. friendly and professional","sometimes too big and could go unnoticed in development","None",5.0,None,None,None,None,None,"Thu Jan 23 2020 10:50:19 GMT-0800 (Pacific Standard Time)"
"gsk","Exciting place to work, but no chance of progression","Current Employee - Research Associate","Stevenage, England","Doesn't Recommend","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than a year","-High standard facility
-Good work benefits","-Little to no chance of progression as the seniors have no places of leaving their post","None",3.0,5.0,5.0,1.0,5.0,4.0,"Thu Feb 06 2020 06:23:26 GMT-0800 (Pacific Standard Time)"
"gsk","Bad people management","Former Employee - Finance Analyst/Financial Accountant","London, England","None","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Good benefits and share options. Good image for the CV. Work from home option.","Very poor first line managers. Often you see in these positions people who don't have the necessary qualities to manage other people. And they provide them with too much right to write performance reviews which are often rather insulting and offensive than constructive.","None",1.0,3.0,2.0,1.0,2.0,1.0,"Wed Feb 26 2020 13:27:34 GMT-0800 (Pacific Standard Time)"
"gsk","OK but company changing massively","Former Employee - Legal Counsel","None","None","None","None","I worked at GlaxoSmithKline full-time for more than a year","Good clients within the business","No teamwork in the Legal function","None",3.0,None,None,None,None,None,"Mon Feb 03 2020 13:39:06 GMT-0800 (Pacific Standard Time)"
"gsk","A good company to work for","Former Employee - Various","None","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Overall focus on people, offers a great range of movement and opportunities inside the company.","Can be challenging for newcomers, particularly for those coming from outside of Pharma.","None",4.0,4.0,4.0,4.0,4.0,4.0,"Mon Jan 20 2020 05:29:12 GMT-0800 (Pacific Standard Time)"
"gsk","Corporate Drones","Former Employee - Dental Territory Manager","None","Doesn't Recommend","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for less than a year","Huge support network and training program. They're insanely rich so nice hotel stays and expenses covered.","Company is too big to function. Each process is drawn out by endless levels of communication/approval.","None",3.0,4.0,1.0,3.0,3.0,3.0,"Mon Feb 03 2020 06:03:01 GMT-0800 (Pacific Standard Time)"
"gsk","Great place to work","Current Employee - Project Manager","London, England","None","None","None","I have been working at GlaxoSmithKline full-time for more than 8 years","Invest in people and embrace diversity","Not best paying Pharma","None",5.0,None,None,None,None,None,"Sun Jan 19 2020 01:39:29 GMT-0800 (Pacific Standard Time)"
"gsk","Good employer in a time of significant change","Current Employee - Global Head, Commercial Workplace Services","London, England","Recommends","Negative Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time","Remuneration package
Healthcare
Development opportunities
Positive corporate mission","Global transformation pressures
Cost reduction pressure
Product pipeline pressure","None",3.0,5.0,4.0,4.0,4.0,3.0,"Fri Jan 31 2020 01:54:32 GMT-0800 (Pacific Standard Time)"
"gsk","Great place to work","Current Employee - New Business Leader","Barnard Castle, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time","Great place to work","None that I can think of","None",5.0,5.0,5.0,5.0,4.0,4.0,"Wed Jan 15 2020 10:25:46 GMT-0800 (Pacific Standard Time)"
"gsk","Strong company with good employee benefits","Current Employee - Engineering Summer Student","None","None","None","None","I have been working at GlaxoSmithKline full-time for less than a year","Good experience in a competitive industry","Only a short period working for the company, so no cons.","None",4.0,5.0,5.0,4.0,5.0,5.0,"Sun Jan 12 2020 10:59:12 GMT-0800 (Pacific Standard Time)"
"gsk","Friendly, mature culture with plenty of interesting work!","Current Employee - Director","Brentford, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than a year","The people are great - professional, knowledgeable and passionate. There is huge emphasis placed on our priorities, values and expectations (which you can find on the website) - so if they appeal to you, then that really is what’s considered important.","GSK has an amount of paranoia concerning the things they don’t think they’re good at: such as openness, and straight talk. Having worked at other organisations and joining relatively recently, I consider this to be the most transparent culture I’ve experienced!","None",5.0,5.0,5.0,4.0,4.0,5.0,"Wed Jan 08 2020 05:06:57 GMT-0800 (Pacific Standard Time)"
"gsk","Great perks but just like all major corporates","Former Employee - Supply Chain Planner","Brentford, England","Recommends","Positive Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Great perks and security","The blood sucking nature of a big pharma company looking to get all they can out of you","None",3.0,2.0,3.0,4.0,5.0,2.0,"Sat Jan 25 2020 06:30:24 GMT-0800 (Pacific Standard Time)"
"gsk","Great company but currently too short term focused","Current Employee - Marketing Director","Brentford, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Great global brands and great marketing teams, good work/life balance, lots of different opportunities (projects and roles)","Currently working through new structure and new operating model, with view to split from GSK Pharma in a few years. Short term strategic focus on cost cutting rather than brand building","None",3.0,4.0,5.0,3.0,4.0,2.0,"Mon Jan 20 2020 06:03:42 GMT-0800 (Pacific Standard Time)"
"gsk","Industrial placement in R&amp;D","Current Employee - Industrial Placement Student","None","None","None","None","I have been working at GlaxoSmithKline full-time for more than a year","Good chance to network and gain skills","Lots of hard thinking and tiring","None",5.0,None,None,None,None,None,"Mon Jan 06 2020 15:08:24 GMT-0800 (Pacific Standard Time)"
"gsk","Good place to work","Current Employee - Procurement Director","Brentford, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","Good ethics, motivating, growth, exciting times with changes ongoing.","Downsizing, lots of work,","None",5.0,3.0,5.0,4.0,4.0,5.0,"Fri Jan 03 2020 08:58:53 GMT-0800 (Pacific Standard Time)"
"gsk","Good place to work","Current Employee - Procurement Director","Brentford, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","Good ethics, motivating, growth, exciting times with changes ongoing.","Downsizing, lots of work,","None",5.0,3.0,5.0,4.0,4.0,5.0,"Fri Jan 03 2020 08:58:53 GMT-0800 (Pacific Standard Time)"
"gsk","Good company to work for","Current Employee - Risk Management","London, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","flexibility, independence in your work","big corporate, can be slow in decision making","None",4.0,5.0,4.0,4.0,4.0,4.0,"Thu Jan 02 2020 08:20:34 GMT-0800 (Pacific Standard Time)"
"gsk","Great benefits, talented people but toxic politics","Former Employee - Strategic Buyer","Brentford, England","Recommends","Negative Outlook","Disapproves of CEO","I worked at GlaxoSmithKline full-time for more than a year","- Excellent benefits (shares, bonus, healthcare)
- Flexible working
- Great training
- Talented people","- Arrogant when dealing with suppliers. Fail to understand GSK's place in markets
- Senior management are very insecure in their jobs - this allows for extremely toxic politics
- Instances of an employee bullying several members of staff with no repercussions. They were promoted very quickly in the company","None",3.0,4.0,2.0,4.0,5.0,1.0,"Wed Jan 15 2020 09:45:14 GMT-0800 (Pacific Standard Time)"
"gsk","Constant change and redundancies","Former Employee - Director","Stevenage, England","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Great peers, friendly.  Benefits e.g. health insurance","R&amp;D senior leaders keep carrying out three year redundancy cycle.  Difficult to commit to company chances are you will be in a redundancy pool again shortly","None",2.0,3.0,2.0,2.0,5.0,1.0,"Wed Jan 15 2020 05:03:06 GMT-0800 (Pacific Standard Time)"
"gsk","Good","Current Employee - Anonymous Employee","None","None","None","None","I have been working at GlaxoSmithKline full-time","Good long term benefits and pension","Small business in Ireland down sizing","None",4.0,None,None,None,None,None,"Mon Dec 30 2019 19:58:19 GMT-0800 (Pacific Standard Time)"
"gsk","very large corporation with frequent changes","Current Employee - Innovation Principal Scientist","None","Recommends","Negative Outlook","None","I have been working at GlaxoSmithKline full-time for more than 3 years","work flexibility and culture are good and starting to take shape in day to day reality.","due to senior management short term assignements (3y) the  long term strategy is poor.","None",3.0,4.0,4.0,4.0,4.0,3.0,"Fri Jan 10 2020 03:15:37 GMT-0800 (Pacific Standard Time)"
"gsk","3 months in. Loving it so far.","Current Employee - Chief Data Officer","London, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for less than a year","3 months in. Loving it so far.","3 months in. Nothing to report at this stage.","None",5.0,4.0,5.0,4.0,4.0,4.0,"Sat Dec 14 2019 08:08:05 GMT-0800 (Pacific Standard Time)"
"gsk","Managing commercial categories","Current Employee - Anonymous Employee","None","Recommends","Neutral Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","- Strong company culture with great values
- Very diverse and talented employees  
- Good employee benefits","- Bureaucratic and slow with decision making 
- Underpaid salary
- Inconsistent investment in people","None",4.0,4.0,4.0,3.0,3.0,3.0,"Fri Dec 13 2019 01:48:23 GMT-0800 (Pacific Standard Time)"
"gsk","Great company Great values","Former Employee - Quality Director","London, England","Recommends","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Excellent values and leadership with a good overall package and and first rate working environment","Not nimble, can be very slow in making and implementing decisions","None",4.0,3.0,5.0,4.0,4.0,3.0,"Wed Dec 11 2019 03:36:33 GMT-0800 (Pacific Standard Time)"
"gsk","Overall a good place to work but changing","Current Employee - Human Resources Director","None","Recommends","Negative Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline part-time for more than 10 years","Great people, good benefits and a great mission.","Pace of work becoming unsustainable and new culture not as engaging.","None",4.0,None,None,None,None,None,"Sun Dec 08 2019 13:31:30 GMT-0800 (Pacific Standard Time)"
"gsk","Great company to work for","Current Employee - QA Analyst","Worthing, South East England, England","Recommends","Neutral Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Good salary, share options and bonus","Brexit having an effect on business","None",5.0,4.0,4.0,3.0,5.0,4.0,"Wed Dec 04 2019 08:07:23 GMT-0800 (Pacific Standard Time)"
"gsk","Experts in healthcare and pharmaceuticals","Current Employee - National Expert Liaison Manager","None","Recommends","Positive Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Unparallelled resource in support of delivered competitive excellence and corporate values.","When engaging with HCPs, the company is at times can be quite limiting in its scope regardless of the HCPs wants or needs, and therefore can be seen as hindering the 'collaborative' process as oppose to complementing it.","None",3.0,3.0,4.0,5.0,3.0,2.0,"Mon Dec 16 2019 14:25:06 GMT-0800 (Pacific Standard Time)"
"gsk","Grad scheme salary","Current Employee - Commercial Management Graduate Scheme","None","None","None","None","I have been working at GlaxoSmithKline full-time for more than a year","Great culture and flexible working hours","Location of HQ quite outside London","None",5.0,None,None,None,None,None,"Fri Nov 29 2019 01:25:52 GMT-0800 (Pacific Standard Time)"
"gsk","Good Managment","Current Employee - Business Analyst","Bedford, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than a year","Good management and colleagues who are enthusiastic.","Parking on site has become limited.","None",5.0,None,None,None,None,None,"Fri Nov 29 2019 10:06:24 GMT-0800 (Pacific Standard Time)"
